time,open,high,low,close,volume
2024-10-21T00:00:00-04:00,234.785,236.8,234.54,236.48,555366
2024-10-22T00:00:00-04:00,233.86,236.18,232.67,235.89,562790
2024-10-23T00:00:00-04:00,234.1,235.13,227.77,230.675,1283638
2024-10-24T00:00:00-04:00,229.97,230.815,228.42,230.6,801959
2024-10-25T00:00:00-04:00,229.74,233.12,229.6,231.22,613894
2024-10-28T00:00:00-04:00,233.32,234.71,232.565,233.51,577877
2024-10-29T00:00:00-04:00,233.2,234.325,232.36,233.73,520565
2024-10-30T00:00:00-04:00,232.655,233.22,229.57,230.16,1092531
2024-10-31T00:00:00-04:00,229.24,229.81,225.46,225.73,1473753
2024-11-01T00:00:00-04:00,220.82,225.33,220.33,222.86,1509039
2024-11-04T00:00:00-05:00,221.08,222.78,219.73,222.07,765975
2024-11-05T00:00:00-05:00,221.81,223.945,221.81,223.48,544210
2024-11-06T00:00:00-05:00,222.6,226.045,221.23,222.59,1776205
2024-11-07T00:00:00-05:00,224.67,227.875,224.61,227.405,750937
2024-11-08T00:00:00-05:00,227.3,228.63,226.405,227.16,619490
2024-11-11T00:00:00-05:00,224.91,225.68,221.5,224.26,1143417
2024-11-12T00:00:00-05:00,224.575,225.545,223.36,224.26,1003430
2024-11-13T00:00:00-05:00,223.935,226.63,222.79,225.19,936950
2024-11-14T00:00:00-05:00,225.0,228.84,225.0,228.3,966299
2024-11-15T00:00:00-05:00,225.92,226.88,224.28,224.95,742110
2024-11-18T00:00:00-05:00,225.3,229.735,225.17,228.16,719007
2024-11-19T00:00:00-05:00,226.74,230.16,226.73,228.21,632129
2024-11-20T00:00:00-05:00,228.05,229.92,225.9,229.0,509286
2024-11-21T00:00:00-05:00,228.785,230.13,225.72,228.48,985294
2024-11-22T00:00:00-05:00,228.23,230.71,228.175,229.75,827598
2024-11-25T00:00:00-05:00,231.49,233.24,229.74,232.89,860206
2024-11-26T00:00:00-05:00,233.43,235.55,233.43,234.98,693660
2024-11-27T00:00:00-05:00,234.66,235.62,233.84,234.99,467635
2024-11-29T00:00:00-05:00,234.805,237.8,233.97,237.39,549571
2024-12-02T00:00:00-05:00,237.33,240.76,237.18,239.635,745588
2024-12-03T00:00:00-05:00,239.9,242.76,238.99,242.65,886105
2024-12-04T00:00:00-05:00,242.86,244.1,241.26,242.94,760420
2024-12-05T00:00:00-05:00,244.06,244.455,242.195,243.07,827553
2024-12-06T00:00:00-05:00,242.96,244.625,242.12,242.69,672959
2024-12-09T00:00:00-05:00,241.865,247.24,241.8,246.89,978692
2024-12-10T00:00:00-05:00,246.91,248.205,245.35,247.81,812772
2024-12-11T00:00:00-05:00,247.96,250.77,246.275,246.455,738775
2024-12-12T00:00:00-05:00,246.93,248.73,245.75,248.02,622093
2024-12-13T00:00:00-05:00,247.91,249.245,246.25,248.08,639940
2024-12-16T00:00:00-05:00,247.955,251.355,247.73,251.03,926663
2024-12-17T00:00:00-05:00,250.19,253.8,249.87,253.5,1407054
2024-12-18T00:00:00-05:00,252.22,254.265,247.74,247.95,1377103
2024-12-19T00:00:00-05:00,247.46,251.84,247.11,249.73,1265123
2024-12-20T00:00:00-05:00,248.175,255.0,246.335,254.6,1193742
2024-12-23T00:00:00-05:00,254.84,255.615,253.45,254.26,315725
2024-12-24T00:00:00-05:00,255.52,258.19,255.36,258.18,456446
2024-12-26T00:00:00-05:00,258.355,260.1,257.68,259.15,491615
2024-12-27T00:00:00-05:00,257.93,258.64,253.07,255.635,912043
2024-12-30T00:00:00-05:00,252.085,253.5,250.75,252.15,857519
2024-12-31T00:00:00-05:00,252.6,253.14,249.45,250.545,803764
2025-01-02T00:00:00-05:00,248.93,249.025,241.845,243.82,1720928
2025-01-03T00:00:00-05:00,243.315,244.165,241.89,243.41,1182159
2025-01-06T00:00:00-05:00,244.31,247.33,243.88,245.025,970622
2025-01-07T00:00:00-05:00,242.77,245.53,241.38,242.26,1048220
2025-01-08T00:00:00-05:00,241.97,243.67,240.16,242.63,868980
2025-01-10T00:00:00-05:00,240.025,240.13,233.005,236.76,1713784
2025-01-13T00:00:00-05:00,233.52,234.67,229.72,234.41,1352710
2025-01-14T00:00:00-05:00,234.76,236.1,232.48,233.345,1051611
2025-01-15T00:00:00-05:00,234.755,238.52,234.445,237.765,1048228
2025-01-16T00:00:00-05:00,237.42,237.95,228.04,228.24,1917016
2025-01-17T00:00:00-05:00,232.01,232.09,228.51,229.96,1129750
2025-01-21T00:00:00-05:00,224.255,224.39,219.39,222.59,2272802
2025-01-22T00:00:00-05:00,219.85,223.98,219.825,223.81,1380909
2025-01-23T00:00:00-05:00,224.74,227.01,222.3,223.57,1397373
2025-01-24T00:00:00-05:00,225.1,225.615,221.42,222.85,1287472
2025-01-27T00:00:00-05:00,224.02,232.14,224.02,229.98,2657424
2025-01-28T00:00:00-05:00,230.85,240.19,230.85,238.23,2008290
2025-01-29T00:00:00-05:00,234.15,239.85,234.05,239.315,1126638
2025-01-30T00:00:00-05:00,238.78,240.77,237.245,237.53,1419403
2025-01-31T00:00:00-05:00,247.125,247.19,233.45,235.96,2073352
2025-02-03T00:00:00-05:00,229.98,231.82,225.7,227.92,2273201
2025-02-04T00:00:00-05:00,227.25,233.13,226.66,232.81,1318554
2025-02-05T00:00:00-05:00,228.31,232.665,228.3,232.45,920706
2025-02-06T00:00:00-05:00,231.325,233.775,230.45,233.175,782002
2025-02-07T00:00:00-05:00,232.405,234.0,227.27,227.68,927073
2025-02-10T00:00:00-05:00,229.58,230.58,227.205,227.66,734280
2025-02-11T00:00:00-05:00,228.2,235.225,228.2,232.59,1201805
